rep1	rep2	count	d	dilution1	dilution2	meanDilution	censored1	censored2
8	8	2	1	NA	0	NA	1	0
8	16	2	1	0	1	0.5	0	0
16	8	2	1	1	0	0.5	0	0
16	32	3	1	1	2	1.5	0	0
32	16	3	1	2	1	1.5	0	0
32	32	8	0	2	2	2	0	0
32	64	6	1	2	3	2.5	0	0
64	32	4	1	3	2	2.5	0	0
64	64	16	0	3	3	3	0	0
64	128	1	1	3	4	3.5	0	0
128	64	3	1	4	3	3.5	0	0
128	128	6	0	4	4	4	0	0
128	256	2	1	4	5	4.5	0	0
128	512	2	2	4	6	5	0	0
256	128	4	1	5	4	4.5	0	0
256	256	6	0	5	5	5	0	0
256	1024	2	2	5	7	6	0	0
512	256	2	1	6	5	5.5	0	0
512	512	2	0	6	6	6	0	0
